Node,X,Y
276,146.6,45.3208
277,205.501,-36.1311
278,155.958,34.4293
279,217.846,-45.0895
280,165.739,23.3182
281,229.724,-54.9432
282,175.937,11.8426
283,241.404,-65.4511
284,186.375,0.0393372
285,252.997,-76.5145
286,196.968,-12.0813
287,264.534,-87.9852
288,207.851,-24.4856
289,276.209,-100.039
290,219.196,-37.2197
291,287.97,-112.66
292,230.92,-50.1216
293,299.72,-125.537
294,242.733,-63.0452
295,311.653,-138.316
296,254.376,-76.1481
297,323.988,-150.701
298,265.444,-88.9888
299,336.464,-161.905
300,276.333,-101.821
301,349.466,-172.782
302,287.29,-114.788
303,362.856,-183.307
304,298.524,-127.824
305,376.718,-193.258
306,310.137,-140.659
307,390.975,-202.268
308,322.052,-152.062
309,405.032,-209.658
310,334.47,-160.795
311,418.502,-215.673
312,347.259,-165.977
313,430.502,-220.76
314,360.55,-168.162
315,441.123,-225.961
316,374.721,-168.294
317,450.553,-231.568
318,390.066,-166.927
319,458.436,-237.075
320,406.738,-164.327
321,464.578,-242.118
322,425.014,-160.891
323,468.581,-245.855
324,445.022,-157.214
325,470.708,-247.7
326,466.917,-154.548
327,471.476,-246.672
328,489.776,-153.516
329,471.722,-242.153
330,512.741,-154.865
331,472.556,-234.03
332,534.673,-158.506
333,474.981,-222.414
334,554.878,-164.501
335,479.642,-207.212
336,572.135,-172.432
337,486.934,-188.044
338,584.206,-181.345
339,497.275,-165.085
340,589.268,-189.752
341,512.737,-141.063
342,587.947,-196.035
343,534.121,-120.309
344,581.623,-197.276
345,558.289,-104.757
346,572.676,-191.844
347,582.398,-95.0345
348,564.018,-180.074
349,604.477,-90.5168
350,557.383,-163.358
351,622.898,-90.1124
352,553.659,-143.092
353,637.147,-92.5396
354,553.311,-120.445
355,646.52,-96.4269
356,556.363,-96.7416
357,650.888,-100.336
358,562.773,-73.5241
359,650.942,-102.823
360,571.771,-52.2468
361,647.898,-102.666
362,581.625,-33.7125
363,643.017,-99.0678
364,589.256,-17.4178
365,636.3,-91.6
366,592.983,-2.4593
367,630.091,-81.7923
368,594.357,10.7662
369,625.428,-71.2265
370,593.141,22.8229
371,621.582,-60.2139
372,590.116,33.6962
373,618.866,-49.5266
374,585.493,43.5011
375,616.447,-39.077
376,579.576,52.402
377,614.153,-29.0194
378,573.307,60.5266
379,611.743,-19.3045
380,566.802,68.1866
381,608.856,-9.82687
382,560.245,75.7327
383,605.615,-0.504364
384,553.942,83.212
385,602.116,8.83951
386,547.407,90.8064
387,598.174,18.2847
388,540.738,98.3983
389,593.666,27.749
390,533.214,106.164
391,587.307,37.094
392,524.932,114.39
393,578.856,45.784
394,516.217,123.465
395,567.411,53.3227
396,507.675,133.431
397,553.195,59.5002
398,500.41,144.196
399,536.87,65.0027
400,495.384,155.139
401,519.163,70.7425
402,492.524,165.583
403,500.228,77.5154
404,491.584,174.735
405,480.575,86.147
406,492.083,181.961
407,460.831,97.2008
408,493.259,186.743
409,441.411,111.177
410,493.867,188.942
411,423.25,128.058
412,492.434,188.809
413,406.943,147.457
414,488.121,187.182
415,393.426,168.618
416,480.689,185.275
417,382.781,190.512
418,469.932,184.366
419,374.012,211.589
420,455.852,185.531
421,365.394,230.455
422,439.645,189.164
423,355.885,247.189
424,421.867,194.652
425,345.228,262.595
426,402.593,200.961
427,334.743,277.601
428,382.039,207.619
429,324.875,292.164
430,360.718,215.102
431,315.414,305.931
432,340.009,223.873
433,305.721,319.022
434,320.317,234.11
435,295.166,331.826
436,302.079,245.7
437,283.516,344.682
438,285.249,258.02
439,270.728,357.639
440,270.073,270.905
441,256.751,370.703
442,256.389,283.974
443,241.306,383.557
444,243.706,296.991
445,224.374,395.928
446,231.619,309.703
447,205.918,407.293
448,219.956,322.205
449,186.535,417.655
450,208.454,334.729
451,166.316,427.127
452,196.637,347.361
453,145.639,435.624
454,184.317,359.875
455,125.248,443.167
456,170.4,371.778
457,104.617,450.768
458,153.935,382.325
459,84.6837,458.569
460,133.908,390.056
461,65.6546,467.023
462,109.651,394.613
463,48.9768,476.463
464,80.9909,396.61
465,36.3864,485.518
466,47.4748,397.845
467,28.3544,491.85
468,10.0303,401.258
469,22.3853,491.073
470,-28.3898,408.777
471,14.2273,483.709
472,-63.4687,419.048
473,-1.26665,473.462
474,-94.2437,427.303
475,-21.9225,465.546
476,-121.085,429.698
477,-45.906,459.837
478,-145.821,425.088
479,-70.4196,454.715
480,-168.106,415.004
481,-94.11,448.908
482,-188.655,402.187
483,-116.808,440.606
484,-207.881,387.561
485,-137.711,428.809
486,-226.442,372.264
487,-156.565,414.629
488,-244.569,357.771
489,-173.897,399.825
490,-262.189,344.373
491,-190.111,385.342
492,-279.564,332.419
493,-206.365,373.125
494,-297.712,324.567
495,-222.683,363.893
496,-314.268,320.176
497,-236.027,356.858
498,-327.557,318.69
499,-245.737,352.579
500,-331.474,320.436
501,-264.256,345.473
