id,x,y,z
Node1,31.885523882390682,35.29680842508806,-262.3720446187951
Node2,1.4613226361697402,77.94873756930451,-268.5252783108825
Node3,38.91946504765451,103.00151291450491,-214.4071893897925
Node4,11.457767127015197,135.5706939916347,-291.9012867205427
Node5,-17.74581175390496,162.88803662617704,-284.25434507607036
Node6,10.885646627889697,129.4094811226798,-240.23176138981842
Node7,-6.443303980317751,125.52969942297109,-201.23914970177887
Node8,-9.19573355248751,179.2114436043048,-229.62851786170137
Node9,-28.92662236736401,89.39848395957024,-81.57095992169087
Node10,-38.47353539217817,136.11509467258855,-162.56454108568138
Node11,-54.584045368403636,90.6846627878077,-98.66560845614644
Node12,-45.454330645425024,157.74689457420425,-197.89573420717858
Node13,-55.33854773096453,161.6282439944495,-247.47935537320203
Node14,-20.475411189522884,152.55380650101654,-138.02625669825866
Node15,-7.288196694745412,107.64618256123656,-113.73214162172702
Node16,7.995071583170454,122.67225698056727,-173.29012174209575
Node17,-1.315490636145009,76.58323250230984,-171.2296242901463
Node18,59.20875712685054,-28.83641088384315,-170.34154550282253
Node19,74.81461028864307,-58.04665601835109,-228.86757917980694
Node20,117.97378578324039,-106.09305458728315,-173.22089942047938
Node21,153.27187360013883,-175.067298641342,-139.99204571880546
Node22,190.40971912789635,-178.43198691219288,-140.07141370941898
Node23,179.1957764672544,-149.7263908372344,-73.4014828726772
Node24,148.89124105732222,-125.22383288927345,-49.746821379391896
Node25,168.1989785199545,-156.4659835169423,-20.2290605792362
Node26,163.60219968454348,-183.1564782632497,-65.17877640824437
Node27,88.42210677891798,-154.89816681942312,-3.8963484308267153
Node28,154.27397651643574,-239.80229873925308,-26.53471178536655
Node29,102.76555508072005,-207.35482705645063,25.683563308426958
Node30,103.81413432698002,-161.37658117961058,62.86663395231449
Node31,169.9532048081872,-231.67590011928033,6.867789108061084
Node32,177.57883900746666,-207.0450524588281,-11.602377669474981
Node33,184.01317018033697,-249.5342081242544,-53.54697308042557
Node34,112.01348722266087,-192.62832541325247,-32.111944011599945
Node35,102.99698659452517,-154.69630140816815,-44.93767805625412
Node36,123.70712287760564,-88.76721931653086,-94.36001979518724
Node37,156.9183026929314,38.45515222645997,-231.06734425188353
Node38,181.50621781888267,49.054455566126585,-196.55103710689693
